Rank,teamId,teamImageId,teamFullName,Team,teamAbbrevName,teamShortName,leagueId,leagueName,GM,SubOn,SubOff,GWG,SOG,SOTInBox,SOTOBox,BlkdInBox,BlkdOutBox,OFF,OffTgtOBox,OffTgtInBox,PenTaken,PenGoal,ShotDirFK,GoalDirFK,GoalInBx,GoalOBx,GoalOP,GoalHead,OfTgHd,SOTHead,GoalLF,GoalRF,ShotLF,ShotRF,PsOpHfFl,PsOnHfFl,PsAtt,PsOnHfScs,PsOpHfScs,ExpG,Goal,Ast,ExpA,BgChnc,BgChncCrtd,ChncSetPl,ChncOpnPl,Chance,1v1,1v1InBox,Scs1v1InBox,SucflDuels,Success1v1,ThrghBalls,ThrghBlCmp,Touches,DuelLs,FailTackle,SucflTkls,Int,DefTouch,SucflTklPct,Clrnce,HeadClear,Recovery,FlComA3,FlComD3,FlComM3,FlSufA3,FlSufD3,FlSufM3,Offsides,CleanSheet,CrossPunch,ErrGoal,ErrShot,Cleared,KeeperCtch,GoalCncd,GoalCnIBx,GoalCnOBx,PensWon,Saves,SvBody,SvCght,SvClct,SvDive,SvFeet,SvFTip,SvHands,SvInBox,SvOutBox,SvPrdDng,SvPrdSaf,SvReach,SvStand,SvStoop,2ndYellow,Red,Yellow,BgChncFace,Turnover,Disposs,TchsA3,TchsD3,TchsM3,TouchOpBox,PctPassFwd,PassSucPct,PsCmpM3,PsCmpA3,PsCmpD3,PsAttA3,PsAttM3,PsAttD3,AerialSucPct,Aerials,ExpGAg,BgChncGoal,Crosses,DefTouchD3,DefTouchD3,DefTouchM3,DefTouchA3,OpenPlayxG,SetPiecexG,OpenPlayxG,SetPiecexG,NonPenxG,KeyPasses,DefBlocks,xGPerShot,ShotsTotal,CrossScsPct,CrossScsPctOpnPl,PctRegainsWithin6S,RecoveriesOppositionHalf,OpponentPossessionsStartingAndEndingInTheirOwnHalf,ConcededPassesIntoBox,PassesIntoBox,ConcededPassesIntoBox,optaTeamId,Week,game,Home,Away,Win,Draw,Loss,Date,gameId,opponentId,opponentTeamImageId,oppOptaTeamId,teamFullName,opponentFullName,opponent,score,finalScoreOpponent,gameStatus,Result,scatterId,scatterExtra
11,c2pdzdl3dgf5b0siidn2ay5ii,15377,Forge,Forge,FOR,Forge,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),1,5,5,1,10,8,2,1,1,6,4,0,0,0,0,0,4,0,4,1,2,1,1,2,5,8,48,21,428,161,198,3.11,4,3,1.7,3,2,2,8,10,29,3,1,59,16,0,0,651,50,7,17,12,40,88.90%,3,2,65,4,0,6,5,5,5,4,1,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,2,1,1,0,1,0,0,1,0,0,3,0,2,18,232,181,238,35,32.90%,83.90%,153,104,102,127,175,126,33.30%,12,0.29,3,22,19,19,18,3,2.29,0.82,2.29,0.82,3.11,7,1,0.17,18,0.09,0,34.10%,20,22,6,22,6,15377,,HFX vs FOR,FALSE,TRUE,TRUE,FALSE,FALSE,5/20/2022,7w7dgxwol442zyz8grc7u1ams,5gmx3o5y2oc0i6rowjwtu7jvu,15376,15376,Forge,HFX Wanderers,HFX,4,0,Played,W 4-0,2276244,HFX vs FOR (2022-05-20)
11,cqthcpums3aas2tdy0qhlkuwa,15382,York United,York United,YRK,York,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),1,5,5,0,1,0,1,2,7,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,69,22,357,160,106,0.67,0,0,0.47,1,1,1,9,10,21,2,1,58,12,0,0,565,49,5,11,13,53,53.30%,23,10,52,5,4,7,2,5,9,1,1,0,0,0,0,2,0,0,0,0,3,0,0,2,0,0,1,3,0,3,0,0,1,0,2,0,0,1,0,4,7,120,221,224,15,36.10%,74.50%,127,33,106,55,162,140,66.70%,21,0.38,0,18,34,34,16,3,0.54,0.13,0.54,0.13,0.67,10,2,0.05,13,0.06,0.08,43.20%,10,18,17,10,17,15382,,PAC vs YRK,FALSE,TRUE,FALSE,TRUE,FALSE,5/21/2022,7vv5bqozh7lrbsj0ahldextlg,b3436h8h14zw7f1uv6w9vqf6y,15380,15380,York United,Pacific,PAC,0,0,Played,T 0-0,2276241,PAC vs YRK (2022-05-21)
11,5gmx3o5y2oc0i6rowjwtu7jvu,15376,HFX Wanderers,HFX Wanderers,HFX,Wanderers,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),1,4,4,0,6,4,2,1,1,8,5,2,0,0,0,0,0,0,0,0,1,0,0,0,5,8,62,37,384,164,121,1.45,0,0,0.77,0,0,1,9,10,12,0,0,61,8,3,1,590,55,11,11,10,44,73.30%,11,7,70,3,3,7,1,6,5,2,1,2,0,0,1,0,0,0,0,0,3,0,1,1,1,0,0,3,2,1,1,0,0,1,1,0,0,3,0,0,17,117,242,231,24,44.30%,74.20%,129,34,122,47,173,164,59.40%,32,0.62,0,12,29,29,11,4,1.07,0.38,1.07,0.38,1.45,10,6,0.09,16,0.17,0.2,34.20%,19,25,19,21,19,15376,,VAL vs HFX,FALSE,TRUE,FALSE,TRUE,FALSE,5/7/2022,7v5k14cw4jq747xcvp00ya13o,dd2vf0yzjm7jm7cak9tf11sa2,15378,15378,HFX Wanderers,Valour,VAL,0,0,Played,T 0-0,2276235,VAL vs HFX (2022-05-07)
11,5gmx3o5y2oc0i6rowjwtu7jvu,15376,HFX Wanderers,HFX Wanderers,HFX,Wanderers,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),1,3,3,1,2,2,0,3,2,5,1,2,1,1,0,0,1,0,0,0,1,1,0,1,2,3,69,24,368,170,105,1.62,1,0,0.82,1,0,4,6,10,21,1,0,65,11,0,0,580,43,10,10,13,58,80.00%,23,15,59,5,2,5,4,6,5,2,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,10,130,225,225,21,44.30%,74.70%,123,39,113,55,163,150,67.90%,28,0.56,1,10,38,38,12,8,0.23,1.39,0.23,1.39,0.83,10,3,0.14,12,0.4,0,44.90%,18,20,15,18,15,15376,,HFX vs YRK,TRUE,FALSE,TRUE,FALSE,FALSE,6/4/2022,7wtvfsqbligsp1ot5eov65tec,cqthcpums3aas2tdy0qhlkuwa,15382,15382,HFX Wanderers,York United,YRK,1,0,Played,W 1-0,2276249,HFX vs YRK (2022-06-04)
11,5gmx3o5y2oc0i6rowjwtu7jvu,15376,HFX Wanderers,HFX Wanderers,HFX,Wanderers,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),1,4,4,0,6,3,3,0,0,6,4,2,0,0,0,0,0,0,0,0,2,0,0,0,4,6,45,30,441,170,196,0.84,0,0,0.76,0,0,0,10,10,15,0,0,45,5,0,0,615,39,9,13,6,39,81.50%,11,6,38,2,4,4,2,1,4,2,0,0,0,1,1,0,1,1,0,0,2,0,1,0,0,0,0,2,1,1,1,0,0,1,1,0,0,2,1,0,6,155,165,295,16,34.70%,83.00%,199,79,88,90,239,112,57.90%,19,1.52,0,24,22,22,14,3,0.84,0,0.84,0,0.84,10,5,0.07,12,0.25,0.35,17.90%,5,14,18,13,18,15376,,CAV vs HFX,FALSE,TRUE,FALSE,FALSE,TRUE,6/11/2022,7x6a13297w4yer6wc2w65wphw,41ewt71n8fqwy6trsqta1bjvu,15381,15381,HFX Wanderers,Cavalry,CAV,0,1,Played,L 0-1,2276252,CAV vs HFX (2022-06-11)
11,dd2vf0yzjm7jm7cak9tf11sa2,15378,Valour,Valour,VAL,Valour,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),1,4,4,0,3,1,2,2,3,7,3,2,0,0,0,0,0,1,1,0,1,0,1,0,3,6,65,23,459,201,170,1.03,1,1,0.92,2,1,2,8,10,27,5,1,54,6,3,0,670,54,14,18,6,48,78.00%,9,3,76,4,1,5,2,2,6,5,0,0,0,0,0,0,1,1,0,0,2,0,0,2,0,0,0,2,2,0,0,0,0,1,1,0,0,2,1,4,3,165,165,340,26,37.50%,80.80%,216,53,102,75,260,124,31.60%,19,1.19,0,20,23,23,24,1,0.83,0.19,0.83,0.19,1.03,9,1,0.07,15,0.2,0.18,51.10%,22,25,7,23,7,15378,,EDM vs VAL,FALSE,TRUE,FALSE,TRUE,FALSE,4/10/2022,7t13lsa9fnok0ki08pgmy4a38,73xrv2025rnj0t3y9ayp83bec,6925,6925,Valour,Edmonton,EDM,1,1,Played,T 1-1,2276218,EDM vs VAL (2022-04-10)
11,dd2vf0yzjm7jm7cak9tf11sa2,15378,Valour,Valour,VAL,Valour,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),1,3,3,1,9,8,1,3,1,7,2,3,1,1,0,0,5,1,4,1,2,1,0,5,1,12,40,25,430,266,99,3.82,6,2,0.89,5,1,3,7,10,23,1,1,42,8,0,0,594,48,4,8,8,36,66.70%,14,6,51,1,2,12,3,4,6,1,0,0,0,0,0,0,1,1,0,1,2,0,0,1,1,0,0,2,1,1,0,1,0,1,0,0,0,2,0,4,7,109,241,244,25,30.50%,84.90%,167,38,160,47,193,190,56.30%,16,0.75,3,10,24,24,12,0,2.56,1.25,2.56,1.25,3.03,8,3,0.19,20,0.4,0.17,42.30%,9,29,13,12,13,15378,,ATO vs VAL,FALSE,TRUE,TRUE,FALSE,FALSE,4/24/2022,7u4m1n8m79feixw87wrpd6vis,dn8tjhuq0bax4dgixqvluhzze,16614,16614,Valour,Atlético Ottawa,ATO,6,1,Played,W 6-1,2276227,ATO vs VAL (2022-04-24)
11,41ewt71n8fqwy6trsqta1bjvu,15381,Cavalry,Cavalry,CAV,Cavalry,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),1,3,3,1,4,3,1,1,3,4,2,2,0,0,1,0,1,0,0,0,0,0,0,1,4,4,45,14,482,275,148,1.52,1,1,1.3,1,1,3,7,10,14,1,0,39,5,1,0,668,45,6,10,4,43,76.20%,23,12,46,1,2,4,4,2,4,3,1,0,0,0,1,0,0,0,0,0,6,0,0,5,3,0,0,6,3,3,0,1,0,0,3,0,0,4,0,2,14,148,261,259,19,30.70%,87.80%,174,69,180,84,196,202,42.10%,19,0.84,0,15,29,29,12,2,1.3,0.21,1.3,0.21,1.52,9,0,0.13,12,0.33,0.36,21.20%,13,11,13,18,13,15381,,CAV vs HFX,TRUE,FALSE,TRUE,FALSE,FALSE,6/11/2022,7x6a13297w4yer6wc2w65wphw,5gmx3o5y2oc0i6rowjwtu7jvu,15376,15376,Cavalry,HFX Wanderers,HFX,1,0,Played,W 1-0,2276252,CAV vs HFX (2022-06-11)
11,dn8tjhuq0bax4dgixqvluhzze,16614,Atlético Ottawa,Atlético Ottawa,ATO,Atlético,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),1,5,5,1,4,3,1,2,2,6,2,1,0,0,0,0,2,0,2,0,2,0,1,1,3,5,50,17,444,196,181,2.01,2,2,1.49,2,2,2,8,10,21,2,1,41,8,1,0,631,52,4,10,5,34,77.80%,15,7,56,5,1,6,0,0,7,6,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,2,1,2,11,158,198,275,27,32.40%,84.90%,195,59,123,73,227,144,46.20%,26,0.52,2,19,23,23,10,1,1.46,0.56,1.46,0.56,2.01,8,2,0.14,14,0.32,0.24,42.20%,17,18,8,14,8,16614,,ATO vs PAC,TRUE,FALSE,TRUE,FALSE,FALSE,6/5/2022,7wy39t7s4ahfcd8vhnv13q2hg,b3436h8h14zw7f1uv6w9vqf6y,15380,15380,Atlético Ottawa,Pacific,PAC,2,1,Played,W 2-1,2276250,ATO vs PAC (2022-06-05)
20,c2pdzdl3dgf5b0siidn2ay5ii,15377,Forge,Forge,FOR,Forge,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),1,3,3,0,3,3,0,0,1,9,4,4,0,0,2,0,1,0,0,1,2,1,0,0,4,5,71,24,527,242,190,1.16,1,1,0.99,2,2,2,7,9,33,4,2,49,14,0,0,743,56,2,5,9,19,46.70%,3,2,62,3,4,3,5,3,9,1,0,0,0,0,0,0,2,2,0,0,3,1,0,1,3,0,0,2,2,1,2,0,0,0,0,0,0,1,2,8,9,186,181,376,25,32.30%,82.00%,243,67,122,87,294,146,44.00%,25,1.19,0,26,6,6,9,4,0.81,0.36,0.81,0.36,1.16,8,2,0.09,13,0.19,0.15,65.20%,25,13,8,16,8,15377,,PAC vs FOR,FALSE,TRUE,FALSE,FALSE,TRUE,4/10/2022,7t6qnou0e2gtfpj8k9tq70x04,b3436h8h14zw7f1uv6w9vqf6y,15380,15380,Forge,Pacific,PAC,1,2,Played,L 1-2,2276219,PAC vs FOR (2022-04-10)
