Rank,playerId,playerImageId,Player,playerFullName,pos,teamImageId,teamName,teamShortName,teamAbbrevName,teamId,optaPersonId,firstName,lastName,optaTeamId,leagueId,leagueName,Position,Team,GM,Min,Age,SubOn,SubOff,GWG,SOG,SOTInBox,SOTOBox,BlkdInBox,BlkdOutBox,OFF,OffTgtOBox,OffTgtInBox,PenTaken,PenGoal,ShotDirFK,GoalDirFK,GoalInBx,GoalOBx,GoalOP,GoalHead,OfTgHd,SOTHead,GoalLF,GoalRF,ShotLF,ShotRF,PsOpHfFl,PsOnHfFl,PsAtt,PsOnHfScs,PsOpHfScs,ExpG,Goal,Ast,ExpA,BgChnc,BgChncCrtd,ChncSetPl,ChncOpnPl,Chance,1v1,1v1InBox,Scs1v1InBox,SucflDuels,Success1v1,ThrghBalls,ThrghBlCmp,Touches,DuelLs,FailTackle,SucflTkls,Int,DefTouch,SucflTklPct,Clrnce,HeadClear,Recovery,FlComA3,FlComD3,FlComM3,FlSufA3,FlSufD3,FlSufM3,Offsides,CleanSheet,CrossPunch,ErrGoal,ErrShot,Cleared,KeeperCtch,GoalCncd,GoalCnIBx,GoalCnOBx,PensWon,Saves,SvBody,SvCght,SvClct,SvDive,SvFeet,SvFTip,SvHands,SvInBox,SvOutBox,SvPrdDng,SvPrdSaf,SvReach,SvStand,SvStoop,2ndYellow,Red,Yellow,BgChncFace,Turnover,Disposs,TchsA3,TchsD3,TchsM3,TouchOpBox,PctPassFwd,PassSucPct,PsCmpM3,PsCmpA3,PsCmpD3,PsAttA3,PsAttM3,PsAttD3,AerialSucPct,Aerials,ExpGAg,BgChncGoal,Crosses,DefTouchD3,DefTouchD3,DefTouchM3,DefTouchA3,OpenPlayxG,SetPiecexG,OpenPlayxG,SetPiecexG,NonPenxG,KeyPasses,DefBlocks,xGPerShot,ShotsTotal,CrossScsPct,CrossScsPctOpnPl,PctRegainsWithin6S,RecoveriesOppositionHalf,OpponentPossessionsStartingAndEndingInTheirOwnHalf,ConcededPassesIntoBox,PassesIntoBox,ConcededPassesIntoBox,Week,game,Home,Away,Win,Draw,Loss,Date,gameId,opponentId,opponentTeamImageId,oppOptaTeamId,teamFullName,opponentFullName,opponent,score,finalScoreOpponent,gameStatus,Result,scatterId,scatterExtra,xG Outside Box 1st Half,xG Outside Box 2nd Half,xG Corners 1st Half,xG Corners 2nd Half,xG FKs 1st Half,xG FKs 2nd Half,Shots in Danger Zone,Shots on Target in Danger Zone,Goals in Danger Zone,Week,game,Home,Away,Win,Draw,Loss,Date,gameId,opponentId,opponentTeamImageId,oppOptaTeamId,teamFullName,opponentFullName,opponent,score,finalScoreOpponent,gameStatus,Result,scatterId,scatterExtra
44,6z58yyouaevipxrmrmorcz0no,849654,I. Johnston,Isaiah Johnston,Second Striker,15382,York United,York,YRK,cqthcpums3aas2tdy0qhlkuwa,509124,Isaiah,Johnston,15382,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),Second Striker,York United,1,77,20,0,1,0,1,1,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,17,6,9,0.12,0,1,0.08,0,0,0,2,2,4,0,0,8,3,0,0,33,4,1,2,0,3,75.00%,0,0,5,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2,17,4,29.40%,88.20%,12,3,0,3,14,0,0.00%,1,0.29,0,3,1,1,2,0,0.12,0,0.12,0,0.12,1,0,0.04,3,0.67,0.67,27.60%,2,20,14,3,14,,YRK vs CAV,TRUE,FALSE,TRUE,FALSE,FALSE,4/22/2022,7trwq4h9nn6ifmk2gistxo5ck,41ewt71n8fqwy6trsqta1bjvu,15381,15381,York United,Cavalry,CAV,2,0,Played,W 2-0,2276224,YRK vs CAV (2022-04-22),0,0,0,0,0,0,1,0,0,,VAL vs HFX,FALSE,TRUE,FALSE,TRUE,FALSE,5/7/2022,7v5k14cw4jq747xcvp00ya13o,dd2vf0yzjm7jm7cak9tf11sa2,15378,15378,HFX Wanderers,Valour,VAL,0,0,Played,T 0-0,2276235,VAL vs HFX (2022-05-07)
44,3wyn5e0uz5jfilp065m3qynoq,849475,A. Sissoko,Aboubacar Sissoko,Central Midfielder,15377,Forge,Forge,FOR,c2pdzdl3dgf5b0siidn2ay5ii,501450,Aboubacar,Sissoko,15377,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),Central Midfielder,Forge,1,90,26,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,41,10,24,0.12,0,1,0.17,0,1,0,2,2,1,0,0,3,1,0,0,52,4,1,0,0,1,50.00%,0,0,5,1,0,1,0,1,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,22,3,27,2,31.70%,82.90%,20,12,2,15,24,2,-,0,0.82,0,0,0,0,1,0,0.12,0,0.12,0,0.12,1,0,0.12,1,-,-,43.30%,3,17,2,1,2,,EDM vs FOR,FALSE,TRUE,TRUE,FALSE,FALSE,6/1/2022,7wjjm07b8b8eho2bvjlmz0ums,73xrv2025rnj0t3y9ayp83bec,6925,6925,Forge,Edmonton,EDM,4,3,Played,W 4-3,2276247,EDM vs FOR (2022-06-01),0.02,0,0,0,0.02,0,1,0,0,,YRK vs FOR,FALSE,TRUE,FALSE,FALSE,TRUE,5/6/2022,7ux6tmhied1j3wi5ao0kw6sk4,cqthcpums3aas2tdy0qhlkuwa,15382,15382,Forge,York United,YRK,0,1,Played,L 0-1,2276233,YRK vs FOR (2022-05-06)
44,4t92bvofxxvfqe6f2w9gs8t0p,216587,C. Bent,Cory Bent,Left Winger,15376,HFX Wanderers,Wanderers,HFX,5gmx3o5y2oc0i6rowjwtu7jvu,200948,Cory,Bent,15376,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),Left Winger,HFX Wanderers,1,65,25,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,1,19,3,8,0.15,0,0,0.07,0,0,0,2,2,0,0,0,1,0,1,0,32,1,0,0,0,0,-,0,0,3,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,22,3,7,5,42.10%,57.90%,5,5,1,10,7,2,100.00%,1,0.18,0,5,0,0,0,0,0.15,0,0.15,0,0.15,2,0,0.15,1,0,0,34.20%,2,25,19,5,19,,VAL vs HFX,FALSE,TRUE,FALSE,TRUE,FALSE,5/7/2022,7v5k14cw4jq747xcvp00ya13o,dd2vf0yzjm7jm7cak9tf11sa2,15378,15378,HFX Wanderers,Valour,VAL,0,0,Played,T 0-0,2276235,VAL vs HFX (2022-05-07),0,0,0,0,0,0,1,0,0,,ATO vs PAC,TRUE,FALSE,FALSE,FALSE,TRUE,5/7/2022,7v9u5fh5vipqr6u1sv48vh2j8,b3436h8h14zw7f1uv6w9vqf6y,15380,15380,Atlético Ottawa,Pacific,PAC,0,1,Played,L 0-1,2276236,ATO vs PAC (2022-05-07)
44,7yio8rqcy9vth90ps5f5j0s0l,178892,M. Restrepo,Mateo Restrepo,Right Centre Back,15376,HFX Wanderers,Wanderers,HFX,5gmx3o5y2oc0i6rowjwtu7jvu,243904,Mateo,Restrepo,15376,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),Right Centre Back,HFX Wanderers,1,90,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,51,32,6,0,0,0,0.06,0,0,0,2,2,1,0,0,4,1,0,0,66,1,1,1,4,10,100.00%,4,1,3,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,46,20,0,45.10%,74.50%,12,0,26,0,17,34,-,0,0.56,0,0,9,9,1,0,0,0,0,0,0,2,0,-,0,-,-,44.90%,0,20,15,2,15,,HFX vs YRK,TRUE,FALSE,TRUE,FALSE,FALSE,6/4/2022,7wtvfsqbligsp1ot5eov65tec,cqthcpums3aas2tdy0qhlkuwa,15382,15382,HFX Wanderers,York United,YRK,1,0,Played,W 1-0,2276249,HFX vs YRK (2022-06-04),0,0,0,0,0,0,1,0,0,,EDM vs CAV,FALSE,TRUE,TRUE,FALSE,FALSE,5/7/2022,7v1exwbamyw4d18c7jr6a7b4k,73xrv2025rnj0t3y9ayp83bec,6925,6925,Cavalry,Edmonton,EDM,3,0,Played,W 3-0,2276234,EDM vs CAV (2022-05-07)
44,dryx6vgko76wuqqr4g9pjl4ru,849653,S. Young,Sean Young,Central Midfielder,15380,Pacific,Pacific,PAC,b3436h8h14zw7f1uv6w9vqf6y,509902,Sean,Young,15380,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),Central Midfielder,Pacific,1,66,21,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,49,18,24,0,0,0,0.06,0,0,0,2,2,1,0,0,2,1,0,0,56,4,0,0,1,1,-,0,0,6,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,16,10,30,3,24.50%,85.70%,26,11,5,14,27,8,100.00%,1,0.73,0,0,1,1,0,0,0,0,0,0,0,2,1,-,0,-,-,27.10%,2,17,19,1,19,,ATO vs PAC,FALSE,TRUE,TRUE,FALSE,FALSE,5/7/2022,7v9u5fh5vipqr6u1sv48vh2j8,dn8tjhuq0bax4dgixqvluhzze,16614,16614,Pacific,Atlético Ottawa,ATO,1,0,Played,W 1-0,2276236,ATO vs PAC (2022-05-07),0,0,0,0,0,0,0,0,0,,PAC vs FOR,TRUE,FALSE,TRUE,FALSE,FALSE,4/10/2022,7t6qnou0e2gtfpj8k9tq70x04,c2pdzdl3dgf5b0siidn2ay5ii,15377,15377,Pacific,Forge,FOR,2,1,Played,W 2-1,2276219,PAC vs FOR (2022-04-10)
44,b2fxe6y0xulg212cls9zrp6mt,282582,Miguel Acosta,Miguel Acosta,Right Back,16614,Atlético Ottawa,Atlético,ATO,dn8tjhuq0bax4dgixqvluhzze,484440,Miguel,Acosta,16614,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),Right Back,Atlético Ottawa,1,90,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,44,26,11,0,0,1,0.13,0,0,0,2,2,0,0,0,0,0,0,0,62,1,0,0,1,6,0.00%,5,1,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,10,20,32,1,40.90%,84.10%,24,1,12,2,27,15,-,0,1.05,0,5,5,5,1,0,0,0,0,0,0,1,0,-,0,0.4,0.4,30.00%,0,20,11,1,11,,ATO vs HFX,TRUE,FALSE,TRUE,FALSE,FALSE,4/16/2022,7tezpc35kcxh7vuq3gncvjvo4,5gmx3o5y2oc0i6rowjwtu7jvu,15376,15376,Atlético Ottawa,HFX Wanderers,HFX,1,0,Played,W 1-0,2276221,ATO vs HFX (2022-04-16),0,0.03,0,0,0,0,1,0,0,,FOR vs CAV,FALSE,TRUE,FALSE,TRUE,FALSE,4/16/2022,7tjgzzc4kxv7fgknwv8qd2djo,c2pdzdl3dgf5b0siidn2ay5ii,15377,15377,Cavalry,Forge,FOR,2,2,Played,T 2-2,2276222,FOR vs CAV (2022-04-16)
44,b2fxe6y0xulg212cls9zrp6mt,282582,Miguel Acosta,Miguel Acosta,Left Back,16614,Atlético Ottawa,Atlético,ATO,dn8tjhuq0bax4dgixqvluhzze,484440,Miguel,Acosta,16614,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),Left Back,Atlético Ottawa,1,27,24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,19,3,10,0,0,0,0.17,0,1,1,1,2,1,0,0,2,1,0,0,34,1,0,0,1,1,0.00%,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,9,9,16,1,63.20%,68.40%,8,2,3,3,11,5,-,0,1.12,0,1,0,0,1,0,0,0,0,0,0,2,0,-,0,0,0,42.90%,1,25,11,2,11,,ATO vs PAC,TRUE,FALSE,FALSE,FALSE,TRUE,5/7/2022,7v9u5fh5vipqr6u1sv48vh2j8,b3436h8h14zw7f1uv6w9vqf6y,15380,15380,Atlético Ottawa,Pacific,PAC,0,1,Played,L 0-1,2276236,ATO vs PAC (2022-05-07),0,0,0,0,0,0,1,1,0,,EDM vs VAL,FALSE,TRUE,FALSE,TRUE,FALSE,4/10/2022,7t13lsa9fnok0ki08pgmy4a38,73xrv2025rnj0t3y9ayp83bec,6925,6925,Valour,Edmonton,EDM,1,1,Played,T 1-1,2276218,EDM vs VAL (2022-04-10)
44,7q6h161f7gcqnpy07x80hbpck,727492,W. Akio,William Akio,Right Midfielder,15378,Valour,Valour,VAL,dd2vf0yzjm7jm7cak9tf11sa2,538243,William,Akio,15378,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),Right Midfielder,Valour,1,90,23,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,21,6,12,0.11,0,0,0.09,0,0,0,2,2,1,0,0,3,1,0,0,41,8,0,0,0,0,0.00%,0,0,5,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,32,2,7,6,23.80%,85.70%,4,13,1,16,4,1,0.00%,3,1.58,0,5,0,0,0,0,0.11,0,0.11,0,0.11,2,0,0.11,1,0.2,0.2,45.10%,4,31,21,3,21,,VAL vs YRK,TRUE,FALSE,TRUE,FALSE,FALSE,5/15/2022,7vr03vkxl0logctgpffg250yc,cqthcpums3aas2tdy0qhlkuwa,15382,15382,Valour,York United,YRK,1,0,Played,W 1-0,2276240,VAL vs YRK (2022-05-15),0,0,0,0,0,0,1,0,0,,ATO vs VAL,TRUE,FALSE,FALSE,FALSE,TRUE,4/24/2022,7u4m1n8m79feixw87wrpd6vis,dd2vf0yzjm7jm7cak9tf11sa2,15378,15378,Atlético Ottawa,Valour,VAL,1,6,Played,L 1-6,2276227,ATO vs VAL (2022-04-24)
44,2shew4623q8jk8awtmebi8h04,503881,M. Simmons,Marcus Simmons,Left Midfielder,6925,Edmonton,Edmonton,EDM,73xrv2025rnj0t3y9ayp83bec,574997,Marcus,Simmons,6925,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),Left Midfielder,Edmonton,1,70,21,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,29,11,10,0,0,0,0.04,0,0,0,2,2,1,0,0,4,0,0,0,48,2,1,1,0,4,100.00%,2,0,7,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,6,18,24,2,69.00%,72.40%,13,2,6,3,18,8,-,0,1.56,0,2,4,4,0,0,0,0,0,0,0,2,1,-,0,0,0,30.00%,1,20,11,1,11,,EDM vs PAC,TRUE,FALSE,FALSE,TRUE,FALSE,4/28/2022,7u8xsns4wvcrxlyqm50founf8,b3436h8h14zw7f1uv6w9vqf6y,15380,15380,Edmonton,Pacific,PAC,0,0,Played,T 0-0,2276228,EDM vs PAC (2022-04-28),0,0.09,0,0,0,0.09,0,0,0,,YRK vs CAV,TRUE,FALSE,TRUE,FALSE,FALSE,4/22/2022,7trwq4h9nn6ifmk2gistxo5ck,41ewt71n8fqwy6trsqta1bjvu,15381,15381,York United,Cavalry,CAV,2,0,Played,W 2-0,2276224,YRK vs CAV (2022-04-22)
44,4rdlxnsv6um9rvzope8uzyh3o,948555,W. Timoteo,Wesley Timoteo,Left Attacking Midfielder,6925,Edmonton,Edmonton,EDM,73xrv2025rnj0t3y9ayp83bec,566182,Wesley,Timoteo,6925,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),Left Attacking Midfielder,Edmonton,1,90,22,0,0,0,0,0,0,0,1,2,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,3,4,33,12,14,0.09,0,0,0.07,0,0,1,1,2,0,0,0,2,0,0,0,47,4,0,1,0,2,50.00%,1,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,2,8,8,31,2,36.40%,78.80%,21,3,2,3,24,6,50.00%,2,1.4,0,2,2,2,0,0,0.05,0.03,0.05,0.03,0.09,2,0,0.03,3,0.5,-,14.30%,0,21,17,0,17,,EDM vs CAV,TRUE,FALSE,FALSE,FALSE,TRUE,5/7/2022,7v1exwbamyw4d18c7jr6a7b4k,41ewt71n8fqwy6trsqta1bjvu,15381,15381,Edmonton,Cavalry,CAV,0,3,Played,L 0-3,2276234,EDM vs CAV (2022-05-07),0.02,0,0,0,0,0,0,0,0,,YRK vs CAV,TRUE,FALSE,TRUE,FALSE,FALSE,4/22/2022,7trwq4h9nn6ifmk2gistxo5ck,41ewt71n8fqwy6trsqta1bjvu,15381,15381,York United,Cavalry,CAV,2,0,Played,W 2-0,2276224,YRK vs CAV (2022-04-22)
44,3zqd0tpfkwf3ijib2agyo4rv8,948554,M. Caldeira,Marcus Caldeira,Left Back,15377,Forge,Forge,FOR,c2pdzdl3dgf5b0siidn2ay5ii,546167,Marcus,Caldeira,15377,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),Left Back,Forge,1,21,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,0,7,0,0,1,0.23,0,1,0,2,2,1,0,0,1,1,0,0,9,1,0,0,0,0,-,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9,0,0,1,12.50%,87.50%,0,7,0,8,0,0,-,0,0.43,0,0,0,0,0,0,0,0,0,0,0,1,0,-,0,-,-,58.30%,0,24,12,1,12,,FOR vs CAV,TRUE,FALSE,FALSE,TRUE,FALSE,4/16/2022,7tjgzzc4kxv7fgknwv8qd2djo,41ewt71n8fqwy6trsqta1bjvu,15381,15381,Forge,Cavalry,CAV,2,2,Played,T 2-2,2276222,FOR vs CAV (2022-04-16),0,0.05,0,0,0,0.05,0,0,0,,EDM vs PAC,TRUE,FALSE,FALSE,TRUE,FALSE,4/28/2022,7u8xsns4wvcrxlyqm50founf8,b3436h8h14zw7f1uv6w9vqf6y,15380,15380,Edmonton,Pacific,PAC,0,0,Played,T 0-0,2276228,EDM vs PAC (2022-04-28)
44,ea3jzvmeyl77rp1t8co1mhox6,331576,Umaro Balde,Umaro Balde,Defensive Midfielder,15380,Pacific,Pacific,PAC,b3436h8h14zw7f1uv6w9vqf6y,490673,Umaro,Balde,15380,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),Defensive Midfielder,Pacific,1,45,19,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,29,16,11,0,0,0,0.04,0,0,0,2,2,3,0,0,3,0,0,0,36,5,1,2,0,3,75.00%,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,23,0,37.90%,93.10%,17,3,7,4,18,7,-,0,1.33,0,1,1,1,2,0,0,0,0,0,0,2,0,-,0,0,0,38.50%,1,25,11,1,11,,PAC vs VAL,TRUE,FALSE,FALSE,TRUE,FALSE,5/28/2022,7wbfumbhncegii9hi6bdw2zv8,dd2vf0yzjm7jm7cak9tf11sa2,15378,15378,Pacific,Valour,VAL,2,2,Played,T 2-2,2276245,PAC vs VAL (2022-05-28),0,0.03,0,0,0,0.03,1,0,0,,EDM vs CAV,TRUE,FALSE,FALSE,FALSE,TRUE,5/7/2022,7v1exwbamyw4d18c7jr6a7b4k,41ewt71n8fqwy6trsqta1bjvu,15381,15381,Edmonton,Cavalry,CAV,0,3,Played,L 0-3,2276234,EDM vs CAV (2022-05-07)
127,dy82dducntn2ulpq7qzclfw0l,117844,A. Sissoko,Abdoul Sissoko,Right Centre Back,16614,Atlético Ottawa,Atlético,ATO,dn8tjhuq0bax4dgixqvluhzze,55947,Abdoul,Sissoko,16614,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),Right Centre Back,Atlético Ottawa,1,90,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,34,22,8,0,0,0,0.09,0,0,1,0,1,0,0,0,3,0,0,0,46,2,1,0,2,8,100.00%,5,5,6,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,26,19,0,20.60%,88.20%,15,1,14,1,17,16,50.00%,2,1.22,0,0,8,8,0,0,0,0,0,0,0,1,1,-,0,-,-,42.90%,0,25,11,1,11,,ATO vs PAC,TRUE,FALSE,FALSE,FALSE,TRUE,5/7/2022,7v9u5fh5vipqr6u1sv48vh2j8,b3436h8h14zw7f1uv6w9vqf6y,15380,15380,Atlético Ottawa,Pacific,PAC,0,1,Played,L 0-1,2276236,ATO vs PAC (2022-05-07),0,0,0,0,0,0,1,1,0,,HFX vs EDM,TRUE,FALSE,TRUE,FALSE,FALSE,4/30/2022,7uhzvzsjqt3x7sbx714u496ok,73xrv2025rnj0t3y9ayp83bec,6925,6925,HFX Wanderers,Edmonton,EDM,3,1,Played,W 3-1,2276230,HFX vs EDM (2022-04-30)
127,dy82dducntn2ulpq7qzclfw0l,117844,A. Sissoko,Abdoul Sissoko,Central Midfielder,16614,Atlético Ottawa,Atlético,ATO,dn8tjhuq0bax4dgixqvluhzze,55947,Abdoul,Sissoko,16614,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),Central Midfielder,Atlético Ottawa,1,90,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,43,20,15,0,0,0,0.06,0,0,0,1,1,1,0,0,5,1,0,0,47,0,1,0,0,1,100.00%,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,12,31,0,34.90%,81.40%,22,3,10,4,28,11,100.00%,3,0.52,0,0,0,0,1,0,0,0,0,0,0,1,1,-,0,-,-,42.20%,3,18,8,0,8,,ATO vs PAC,TRUE,FALSE,TRUE,FALSE,FALSE,6/5/2022,7wy39t7s4ahfcd8vhnv13q2hg,b3436h8h14zw7f1uv6w9vqf6y,15380,15380,Atlético Ottawa,Pacific,PAC,2,1,Played,W 2-1,2276250,ATO vs PAC (2022-06-05),0.01,0,0,0,0,0,1,0,0,,YRK vs ATO,FALSE,TRUE,FALSE,TRUE,FALSE,4/29/2022,7ud9jfd1i3ydlzce7aiua7x90,cqthcpums3aas2tdy0qhlkuwa,15382,15382,Atlético Ottawa,York United,YRK,2,2,Played,T 2-2,2276229,YRK vs ATO (2022-04-29)
127,am6blpv9h0wzsn8rjv1q0zpp1,195876,A. Díaz,Alejandro Díaz,Centre Forward,15380,Pacific,Pacific,PAC,b3436h8h14zw7f1uv6w9vqf6y,173493,Alejandro,Díaz,15380,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),Centre Forward,Pacific,1,90,26,0,0,0,3,3,0,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,3,7,0,20,6,7,0.79,1,0,0.07,1,0,0,1,1,1,0,0,3,1,0,0,35,8,0,1,1,3,33.30%,1,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,15,7,13,6,40.00%,65.00%,6,6,1,7,10,3,20.00%,5,1.16,1,0,2,2,1,0,0.7,0.08,0.7,0.08,0.79,1,1,0.2,4,-,-,16.10%,0,33,16,1,16,,PAC vs FOR,TRUE,FALSE,TRUE,FALSE,FALSE,4/10/2022,7t6qnou0e2gtfpj8k9tq70x04,c2pdzdl3dgf5b0siidn2ay5ii,15377,15377,Pacific,Forge,FOR,2,1,Played,W 2-1,2276219,PAC vs FOR (2022-04-10),0,0,0,0,0,0,0,0,0,,ATO vs HFX,TRUE,FALSE,TRUE,FALSE,FALSE,4/16/2022,7tezpc35kcxh7vuq3gncvjvo4,5gmx3o5y2oc0i6rowjwtu7jvu,15376,15376,Atlético Ottawa,HFX Wanderers,HFX,1,0,Played,W 1-0,2276221,ATO vs HFX (2022-04-16)
127,am6blpv9h0wzsn8rjv1q0zpp1,195876,A. Díaz,Alejandro Díaz,Centre Forward,15380,Pacific,Pacific,PAC,b3436h8h14zw7f1uv6w9vqf6y,173493,Alejandro,Díaz,15380,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),Centre Forward,Pacific,1,63,26,0,1,0,1,1,0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,2,0,2,0,12,3,7,1.4,1,0,0.03,2,0,1,0,1,0,0,0,0,0,0,0,19,1,0,0,0,1,-,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,1,6,4,16.70%,83.30%,4,6,0,7,5,0,-,0,0,1,0,1,1,0,0,1.4,0,1.4,0,1.4,1,0,0.47,3,-,-,55.60%,1,15,8,0,8,,PAC vs VAL,TRUE,FALSE,TRUE,FALSE,FALSE,4/17/2022,7tnrk7s1kn6cat4od23gqvl04,dd2vf0yzjm7jm7cak9tf11sa2,15378,15378,Pacific,Valour,VAL,3,2,Played,W 3-2,2276223,PAC vs VAL (2022-04-17),0.02,0.07,0,0,0,0,0,0,0,,ATO vs VAL,FALSE,TRUE,TRUE,FALSE,FALSE,4/24/2022,7u4m1n8m79feixw87wrpd6vis,dn8tjhuq0bax4dgixqvluhzze,16614,16614,Valour,Atlético Ottawa,ATO,6,1,Played,W 6-1,2276227,ATO vs VAL (2022-04-24)
