Rank,playerId,playerImageId,Player,playerFullName,pos,teamImageId,teamName,teamShortName,teamAbbrevName,teamId,optaPersonId,firstName,lastName,optaTeamId,leagueId,leagueName,Position,Team,GM,Min,Age,SubOn,SubOff,GWG,SOG,SOTInBox,SOTOBox,BlkdInBox,BlkdOutBox,OFF,OffTgtOBox,OffTgtInBox,PenTaken,PenGoal,ShotDirFK,GoalDirFK,GoalInBx,GoalOBx,GoalOP,GoalHead,OfTgHd,SOTHead,GoalLF,GoalRF,ShotLF,ShotRF,PsOpHfFl,PsOnHfFl,PsAtt,PsOnHfScs,PsOpHfScs,ExpG,Goal,Ast,ExpA,BgChnc,BgChncCrtd,ChncSetPl,ChncOpnPl,Chance,1v1,1v1InBox,Scs1v1InBox,SucflDuels,Success1v1,ThrghBalls,ThrghBlCmp,Touches,DuelLs,FailTackle,SucflTkls,Int,DefTouch,SucflTklPct,Clrnce,HeadClear,Recovery,FlComA3,FlComD3,FlComM3,FlSufA3,FlSufD3,FlSufM3,Offsides,CleanSheet,CrossPunch,ErrGoal,ErrShot,Cleared,KeeperCtch,GoalCncd,GoalCnIBx,GoalCnOBx,PensWon,Saves,SvBody,SvCght,SvClct,SvDive,SvFeet,SvFTip,SvHands,SvInBox,SvOutBox,SvPrdDng,SvPrdSaf,SvReach,SvStand,SvStoop,2ndYellow,Red,Yellow,BgChncFace,Turnover,Disposs,TchsA3,TchsD3,TchsM3,TouchOpBox,PctPassFwd,PassSucPct,PsCmpM3,PsCmpA3,PsCmpD3,PsAttA3,PsAttM3,PsAttD3,AerialSucPct,Aerials,ExpGAg,BgChncGoal,Crosses,DefTouchD3,DefTouchD3,DefTouchM3,DefTouchA3,OpenPlayxG,SetPiecexG,OpenPlayxG,SetPiecexG,NonPenxG,KeyPasses,DefBlocks,xGPerShot,ShotsTotal,CrossScsPct,CrossScsPctOpnPl,PctRegainsWithin6S,RecoveriesOppositionHalf,OpponentPossessionsStartingAndEndingInTheirOwnHalf,ConcededPassesIntoBox,PassesIntoBox,ConcededPassesIntoBox,Week,game,Home,Away,Win,Draw,Loss,Date,gameId,opponentId,opponentTeamImageId,oppOptaTeamId,teamFullName,opponentFullName,opponent,score,finalScoreOpponent,gameStatus,Result,scatterId,scatterExtra
128,2slqh5f14ohalcoabv7cy6cd0,501588,K. Coore,Kairo Coore,Centre Forward,6925,Edmonton,Edmonton,EDM,73xrv2025rnj0t3y9ayp83bec,574362,Kairo,Coore,6925,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),Centre Forward,Edmonton,7,288,21,4,2,0,1,1,0,1,0,4,0,3,0,0,0,0,1,0,0,1,0,1,0,0,1,3,7,4,28,8,9,0.44,1,0,0,1,0,0,0,0,5,0,0,5,0,0,0,64,18,0,0,0,1,0.00%,1,0,8,2,0,2,1,0,2,3,0,0,0,0,0,0,9,7,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,6,3,30,5,29,9,25.00%,60.70%,11,6,0,7,17,4,18.20%,11,6.99,1,1,1,1,0,0,0.19,0.26,0.19,0.26,0.44,0,0,0.07,6,0,0,30.60%,2,243,179,1,179,,EDM vs PAC,FALSE,TRUE,FALSE,TRUE,FALSE,4/28/2022,7u8xsns4wvcrxlyqm50founf8,73xrv2025rnj0t3y9ayp83bec,6925,6925,Pacific,Edmonton,EDM,0,0,Played,T 0-0,2276228,EDM vs PAC (2022-04-28)
128,c380w8pp4eolnq4bj0r2k8qvo,948553,O. Maheshe,Ousman Maheshe,Right Attacking Midfielder,6925,Edmonton,Edmonton,EDM,73xrv2025rnj0t3y9ayp83bec,575293,Ousman,Maheshe,6925,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),Right Attacking Midfielder,Edmonton,1,8,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,0,1,1,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,2,1,0.00%,100.00%,0,1,1,1,0,1,0.00%,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-,0,-,-,32.10%,0,87,64,0,64,,EDM vs CAV,FALSE,TRUE,TRUE,FALSE,FALSE,5/7/2022,7v1exwbamyw4d18c7jr6a7b4k,73xrv2025rnj0t3y9ayp83bec,6925,6925,Cavalry,Edmonton,EDM,3,0,Played,W 3-0,2276234,EDM vs CAV (2022-05-07)
128,9izvs4qd03gfmqukkk5csxxxw,949353,M. Omar,Mohamed Omar,Central Midfielder,15376,HFX Wanderers,Wanderers,HFX,5gmx3o5y2oc0i6rowjwtu7jvu,565694,Mohamed,Omar,15376,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),Central Midfielder,HFX Wanderers,3,86,23,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,2,31,17,9,0.32,0,0,0,0,0,0,0,0,1,0,0,7,0,0,0,50,7,2,0,1,3,66.70%,0,0,4,0,0,1,0,2,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,5,14,31,1,29.00%,83.90%,14,4,8,4,19,8,40.00%,5,1.56,0,0,0,0,3,0,0,0.32,0,0.32,0.32,0,0,0.32,1,-,-,37.30%,2,130,86,0,86,,YRK vs CAV,FALSE,TRUE,TRUE,FALSE,FALSE,5/29/2022,7wfk5kdm927rshfkuvaw1tvkk,cqthcpums3aas2tdy0qhlkuwa,15382,15382,Cavalry,York United,YRK,1,0,Played,W 1-0,2276246,YRK vs CAV (2022-05-29)
128,bj8f50ujvt3e3fqi1hr6s3cic,949351,Z. Roy,Zachary Roy,Centre Forward,16614,Atlético Ottawa,Atlético,ATO,dn8tjhuq0bax4dgixqvluhzze,568129,Zachary,Roy,16614,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),Centre Forward,Atlético Ottawa,4,19,18,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,5,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,13,1,0,0,0,0,-,0,0,3,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,8,1,37.50%,87.50%,4,1,2,2,4,2,0.00%,1,0.37,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,-,-,36.80%,0,77,65,1,65,,EDM vs CAV,TRUE,FALSE,FALSE,FALSE,TRUE,5/7/2022,7v1exwbamyw4d18c7jr6a7b4k,41ewt71n8fqwy6trsqta1bjvu,15381,15381,Edmonton,Cavalry,CAV,0,3,Played,L 0-3,2276234,EDM vs CAV (2022-05-07)
128,72ktic7sf3uuwv5jnisv6tces,949352,D. Stampatori,Daniel Stampatori,Central Midfielder,15377,Forge,Forge,FOR,c2pdzdl3dgf5b0siidn2ay5ii,569803,Daniel,Stampatori,15377,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),Central Midfielder,Forge,2,9,17,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,9,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2,0,0,0,0,-,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,7,0,55.60%,77.80%,4,3,0,3,6,0,0.00%,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,45.50%,0,86,42,1,42,,HFX vs CAV,FALSE,TRUE,FALSE,TRUE,FALSE,5/15/2022,7vmv1w4q6bsqu119wtrvrgums,5gmx3o5y2oc0i6rowjwtu7jvu,15376,15376,Cavalry,HFX Wanderers,HFX,2,2,Played,T 2-2,2276239,HFX vs CAV (2022-05-15)
128,2pb6wd5dq8ux13i5v4ujr59g4,,William Wallace,William Wallace,Left Attacking Midfielder,15382,York United,York,YRK,cqthcpums3aas2tdy0qhlkuwa,532453,William Wallace,Monteiro de Lima,15382,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),Left Attacking Midfielder,York United,2,11,19,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0,0,0,0,-,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,40.00%,60.00%,2,0,1,0,3,2,0.00%,2,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,-,-,43.40%,0,88,78,0,78,,CAV vs VAL,TRUE,FALSE,TRUE,FALSE,FALSE,5/21/2022,7vz7ogr3qot0jitz8g3mi79jo,dd2vf0yzjm7jm7cak9tf11sa2,15378,15378,Cavalry,Valour,VAL,2,1,Played,W 2-1,2276242,CAV vs VAL (2022-05-21)
128,4vcicz3wfde3b9nssx25g2zv8,,S. Olatoye,Soji Olatoye,,15382,York United,York,YRK,cqthcpums3aas2tdy0qhlkuwa,578293,Soji,Olatoye,15382,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,York United,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,-,-,35.40%,0,20,22,0,22,,PAC vs YRK,FALSE,TRUE,FALSE,TRUE,FALSE,5/21/2022,7vv5bqozh7lrbsj0ahldextlg,b3436h8h14zw7f1uv6w9vqf6y,15380,15380,York United,Pacific,PAC,0,0,Played,T 0-0,2276241,PAC vs YRK (2022-05-21)
128,bajku790eap6oclax3zwxho9g,,D. Lomangino,Dante Lomangino,,15382,York United,York,YRK,cqthcpums3aas2tdy0qhlkuwa,578295,Dante,Lomangino,15382,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,York United,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,-,-,37.20%,0,43,40,0,40,,EDM vs VAL,FALSE,TRUE,FALSE,TRUE,FALSE,4/10/2022,7t13lsa9fnok0ki08pgmy4a38,73xrv2025rnj0t3y9ayp83bec,6925,6925,Valour,Edmonton,EDM,1,1,Played,T 1-1,2276218,EDM vs VAL (2022-04-10)
128,3m0aejck68m0ovwtatk0acmc4,,A. Owolabi-Belewu,Malik Owolabi-Belewu,Left Centre Back,15377,Forge,Forge,FOR,c2pdzdl3dgf5b0siidn2ay5ii,516991,Malik,Owolabi-Belewu,15377,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),Left Centre Back,Forge,4,259,19,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,11,4,156,96,45,0.42,0,0,0,1,0,0,0,0,9,0,0,24,6,0,0,206,12,2,9,4,19,100.00%,4,2,11,0,0,2,1,2,1,0,2,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,21,79,106,3,32.70%,90.40%,81,6,54,7,89,60,42.90%,7,2.32,0,1,13,13,4,2,0,0.42,0,0.42,0.42,0,0,0.42,1,0,0,42.10%,2,62,30,2,30,,PAC vs VAL,FALSE,TRUE,FALSE,FALSE,TRUE,4/17/2022,7tnrk7s1kn6cat4od23gqvl04,b3436h8h14zw7f1uv6w9vqf6y,15380,15380,Valour,Pacific,PAC,2,3,Played,L 2-3,2276223,PAC vs VAL (2022-04-17)
128,4psxp4uu3y57nklhw6n3ow1zo,,K. Egwu,Kelsey Egwu,Left Centre Back,6925,Edmonton,Edmonton,EDM,73xrv2025rnj0t3y9ayp83bec,579187,Kelsey,Egwu,6925,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),Left Centre Back,Edmonton,1,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,44,21,12,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,58,4,0,3,3,9,60.00%,3,1,3,0,0,1,0,0,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,30,25,2,34.10%,75.00%,18,2,13,2,23,19,50.00%,2,1.91,0,0,8,8,1,0,0,0,0,0,0,0,0,-,0,-,-,29.70%,0,36,17,1,17,,EDM vs CAV,FALSE,TRUE,TRUE,FALSE,FALSE,5/7/2022,7v1exwbamyw4d18c7jr6a7b4k,73xrv2025rnj0t3y9ayp83bec,6925,6925,Cavalry,Edmonton,EDM,3,0,Played,W 3-0,2276234,EDM vs CAV (2022-05-07)
128,btkm6thpn4vwnnpamqtkt0kr8,,M. Sylvester,Malik Sylvester,,6925,Edmonton,Edmonton,EDM,73xrv2025rnj0t3y9ayp83bec,579186,Malik,Sylvester,6925,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,Edmonton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,-,-,29.70%,0,36,17,0,17,,CAV vs VAL,TRUE,FALSE,TRUE,FALSE,FALSE,5/21/2022,7vz7ogr3qot0jitz8g3mi79jo,dd2vf0yzjm7jm7cak9tf11sa2,15378,15378,Cavalry,Valour,VAL,2,1,Played,W 2-1,2276242,CAV vs VAL (2022-05-21)
128,56a27wtbiukuc4kyay1obqkno,,M. Kaiser,Markus Kaiser,,15381,Cavalry,Cavalry,CAV,41ewt71n8fqwy6trsqta1bjvu,579297,Markus,Kaiser,15381,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,Cavalry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,-,-,38.50%,0,52,39,0,39,,HFX vs CAV,TRUE,FALSE,FALSE,TRUE,FALSE,5/15/2022,7vmv1w4q6bsqu119wtrvrgums,41ewt71n8fqwy6trsqta1bjvu,15381,15381,HFX Wanderers,Cavalry,CAV,2,2,Played,T 2-2,2276239,HFX vs CAV (2022-05-15)
128,e63p94mrr20pw761amvdeei1h,,Iván Pérez,Ivan Pérez,Left Back,16614,Atlético Ottawa,Atlético,ATO,dn8tjhuq0bax4dgixqvluhzze,195407,Ivan,Pérez,16614,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),Left Back,Atlético Ottawa,2,36,29,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,17,5,9,0.05,0,0,0,0,0,0,0,0,4,0,0,9,1,0,0,42,6,2,3,0,6,100.00%,1,1,4,1,1,1,1,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,17,18,1,64.70%,82.40%,12,0,2,0,12,5,-,0,0.52,0,2,6,6,0,0,0.05,0,0.05,0,0.05,0,0,0.05,1,0,0,43.20%,1,40,14,0,14,,YRK vs CAV,TRUE,FALSE,FALSE,FALSE,TRUE,5/29/2022,7wfk5kdm927rshfkuvaw1tvkk,41ewt71n8fqwy6trsqta1bjvu,15381,15381,York United,Cavalry,CAV,0,1,Played,L 0-1,2276246,YRK vs CAV (2022-05-29)
128,rcajmba9dr9fsg4r8drlah3o,,A. Khela,Arjan Khela,,15382,York United,York,YRK,cqthcpums3aas2tdy0qhlkuwa,581489,Arjan,Khela,15382,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,York United,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,-,-,39.10%,0,23,18,0,18,,PAC vs YRK,TRUE,FALSE,FALSE,TRUE,FALSE,5/21/2022,7vv5bqozh7lrbsj0ahldextlg,cqthcpums3aas2tdy0qhlkuwa,15382,15382,Pacific,York United,YRK,0,0,Played,T 0-0,2276241,PAC vs YRK (2022-05-21)
128,a3wz87ryynka0doj3tbzsx5ka,,O. Benítez,Orlendis Benítez,Second Striker,15377,Forge,Forge,FOR,c2pdzdl3dgf5b0siidn2ay5ii,492103,Orlendis,Benítez,15377,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),Second Striker,Forge,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,3,0,0,0,0,-,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,1,2,0.00%,100.00%,1,3,0,3,1,0,0.00%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,-,-,36.70%,0,11,8,0,8,,ATO vs CAV,FALSE,TRUE,FALSE,FALSE,TRUE,4/9/2022,7svngikxjdp572w3h94c27hg4,dn8tjhuq0bax4dgixqvluhzze,16614,16614,Cavalry,Atlético Ottawa,ATO,0,1,Played,L 0-1,2276217,ATO vs CAV (2022-04-09)
128,bgrez0proyjwfep6h1jkbj40k,,M. Duncan,Malcolm Duncan,Right Back,15377,Forge,Forge,FOR,c2pdzdl3dgf5b0siidn2ay5ii,479518,Malcolm,Duncan,15377,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),Right Back,Forge,1,1,22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,25.00%,100.00%,1,2,1,2,1,1,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,-,-,36.70%,0,11,8,0,8,,YRK vs CAV,FALSE,TRUE,FALSE,FALSE,TRUE,4/22/2022,7trwq4h9nn6ifmk2gistxo5ck,cqthcpums3aas2tdy0qhlkuwa,15382,15382,Cavalry,York United,YRK,0,2,Played,L 0-2,2276224,YRK vs CAV (2022-04-22)
106,c8svt3yazcfaq478j0cpbmbfu,626833,K. Yao,Karifa Yao,Right Centre Back,15381,Cavalry,Cavalry,CAV,41ewt71n8fqwy6trsqta1bjvu,427386,Karifa,Yao,15381,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),Right Centre Back,Cavalry,1,90,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,56,36,12,0,0,0,0,0,0,0,1,1,1,0,0,3,1,0,0,64,1,0,0,2,2,-,0,0,8,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,37,26,1,32.10%,85.70%,20,0,28,1,23,32,66.70%,3,1,0,0,1,1,1,0,0,0,0,0,0,1,1,-,0,-,-,51.10%,1,18,11,1,11,,CAV vs VAL,TRUE,FALSE,TRUE,FALSE,FALSE,5/21/2022,7vz7ogr3qot0jitz8g3mi79jo,dd2vf0yzjm7jm7cak9tf11sa2,15378,15378,Cavalry,Valour,VAL,2,1,Played,W 2-1,2276242,CAV vs VAL (2022-05-21)
106,bfjcp5933vk1i5edea8un89re,336147,Gianni dos Santos,Gianni Dos Santos,Left Attacking Midfielder,15380,Pacific,Pacific,PAC,b3436h8h14zw7f1uv6w9vqf6y,442538,Gianni,Dos Santos,15380,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),Left Attacking Midfielder,Pacific,1,27,23,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,7,1,4,0,0,0,0,0,0,0,1,1,1,0,0,2,0,0,0,13,2,0,1,1,3,100.00%,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,8,0,42.90%,71.40%,4,1,0,1,5,1,-,0,0.1,0,0,1,1,2,0,0.02,0,0.02,0,0.02,1,0,0.02,1,-,-,34.00%,0,26,14,1,14,,PAC vs HFX,TRUE,FALSE,TRUE,FALSE,FALSE,4/23/2022,7u07ertq4mqfut1tkj00ze2ac,5gmx3o5y2oc0i6rowjwtu7jvu,15376,15376,Pacific,HFX Wanderers,HFX,2,1,Played,W 2-1,2276226,PAC vs HFX (2022-04-23)
106,bfjcp5933vk1i5edea8un89re,336147,Gianni dos Santos,Gianni Dos Santos,Central Midfielder,15380,Pacific,Pacific,PAC,b3436h8h14zw7f1uv6w9vqf6y,442538,Gianni,Dos Santos,15380,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),Central Midfielder,Pacific,1,45,23,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,10,3,3,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,20,4,0,0,0,0,-,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,13,2,5,1,0.00%,60.00%,3,2,1,5,4,1,0.00%,1,0.7,0,4,0,0,0,0,0.03,0,0.03,0,0.03,1,0,0.03,1,0.5,0.33,38.60%,1,16,10,1,10,,PAC vs YRK,TRUE,FALSE,FALSE,TRUE,FALSE,5/21/2022,7vv5bqozh7lrbsj0ahldextlg,cqthcpums3aas2tdy0qhlkuwa,15382,15382,Pacific,York United,YRK,0,0,Played,T 0-0,2276241,PAC vs YRK (2022-05-21)
106,7vn8g8wlm99npne5i8fwv3vft,540884,O. Dada-Luke,Olakunle Dada-Luke,Right Back,15380,Pacific,Pacific,PAC,b3436h8h14zw7f1uv6w9vqf6y,421826,Olakunle,Dada-Luke,15380,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),Right Back,Pacific,1,90,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,19,5,6,0,0,0,0.1,0,0,0,1,1,2,0,0,13,1,0,0,60,2,4,3,4,15,100.00%,2,1,3,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,8,31,21,0,47.40%,57.90%,3,4,4,5,4,10,75.00%,4,1.2,0,1,10,10,4,1,0,0,0,0,0,1,0,-,0,1,1,16.10%,1,33,16,0,16,,PAC vs FOR,TRUE,FALSE,TRUE,FALSE,FALSE,4/10/2022,7t6qnou0e2gtfpj8k9tq70x04,c2pdzdl3dgf5b0siidn2ay5ii,15377,15377,Pacific,Forge,FOR,2,1,Played,W 2-1,2276219,PAC vs FOR (2022-04-10)
106,8vi59v87nnquzkbk79kzegmzu,626899,L. Singh,Luke Singh,Left Centre Back,6925,Edmonton,Edmonton,EDM,73xrv2025rnj0t3y9ayp83bec,442408,Luke,Singh,6925,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),Left Centre Back,Edmonton,1,90,21,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,2,41,25,10,0,0,0,0,0,0,0,1,1,0,0,0,2,0,1,1,50,3,2,0,1,4,100.00%,1,0,5,0,2,1,0,0,0,0,0,0,0,0,0,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,34,15,1,51.20%,85.40%,11,0,24,0,13,28,-,0,1.4,0,0,4,4,0,0,0,0.04,0,0.04,0.04,1,1,0.04,1,-,-,14.30%,0,21,17,2,17,,EDM vs CAV,TRUE,FALSE,FALSE,FALSE,TRUE,5/7/2022,7v1exwbamyw4d18c7jr6a7b4k,41ewt71n8fqwy6trsqta1bjvu,15381,15381,Edmonton,Cavalry,CAV,0,3,Played,L 0-3,2276234,EDM vs CAV (2022-05-07)
106,cu34wwcs8ozsglt7gew3p7sh5,559237,T. Mohammed,Terique Mohammed,Left Attacking Midfielder,6925,Edmonton,Edmonton,EDM,73xrv2025rnj0t3y9ayp83bec,421817,Terique,Mohammed,6925,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),Left Attacking Midfielder,Edmonton,1,7,22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3,1,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,-,-,0,0,0,0,0,0,-,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,-,0,1,1,36.40%,0,34,23,0,23,,EDM vs VAL,TRUE,FALSE,FALSE,TRUE,FALSE,4/10/2022,7t13lsa9fnok0ki08pgmy4a38,dd2vf0yzjm7jm7cak9tf11sa2,15378,15378,Edmonton,Valour,VAL,1,1,Played,T 1-1,2276218,EDM vs VAL (2022-04-10)
